GCA_032878535.1_CM064979.1_001534.1	IPR011009	ProSiteProfiles_IPR000719:123-407;Pfam_IPR000719:123-407;SUPERFAMILY_IPR011009:117-414;SMART_IPR000719:123-407	PF00069:123-407	3.30.200.20:110-205;1.10.510.10:206-443	SSF56112:117-414	SM00220:123-407	PS50011:123-407	cd07840:123-407	
GCA_032878535.1_CM064985.1_001365.1	IPR011009	ProSiteProfiles_IPR000719:525-811;Pfam_IPR003609:349-408;ProSiteProfiles_IPR001480:27-148;SMART_IPR000719:525-796;Pfam_IPR000858:207-315;SMART_IPR003609:348-422;Pfam_IPR001480:75-175;SUPERFAMILY_IPR011009:509-820;Gene3D_IPR036426:22-146;CDD_IPR001480:35-149;SUPERFAMILY_IPR036426:75-214;SMART_IPR001480:33-149;Pfam_IPR001245:527-794;ProSiteProfiles_IPR003609:337-423	PF08276:349-408;PF00954:207-315;PF01453:75-175;PF07714:527-794	2.90.10.10:22-146;3.30.200.20:496-600;1.10.510.10:601-809	SSF56112:509-820;SSF51110:75-214	SM00220:525-796;SM00473:348-422;SM00108:33-149	PS50011:525-811;PS50927:27-148;PS50948:337-423	cd14066:531-798;cd00028:35-149;cd00054:283-312;cd01098:333-423	
GCA_032878535.1_CM064981.1_001985.1	IPR011009	Pfam_IPR000719:10-227;SUPERFAMILY_IPR011009:5-267;ProSiteProfiles_IPR000719:9-275;SMART_IPR000719:9-252	PF00069:10-227	1.10.510.10:1-275	SSF56112:5-267	SM00220:9-252	PS50011:9-275	cd14125:8-267	
GCA_032878535.1_CM064982.1_001439.1	IPR011009	SMART_IPR000719:28-282;ProSiteProfiles_IPR018451:328-352;Pfam_IPR004041:330-389;Pfam_IPR000719:28-282;SUPERFAMILY_IPR011009:24-470;ProSiteProfiles_IPR000719:28-282	PF03822:330-389;PF00069:28-282	3.30.200.20:21-114;1.10.510.10:115-332;3.30.310.80:333-453	SSF56112:24-470	SM00220:28-282	PS50816:328-352;PS50011:28-282	cd14663:27-281;cd12195:334-448	
GCA_032878535.1_CM064979.1_002143.1	IPR011009	Gene3D_IPR013083:730-800;Pfam_IPR006016:14-154;Pfam_IPR003613:731-798;ProSiteProfiles_IPR000719:446-709;SMART_IPR003613:733-795;Pfam_IPR000719:450-701;Gene3D_IPR014729:11-166;ProSiteProfiles_IPR003613:729-800;SMART_IPR000719:446-709;SUPERFAMILY_IPR011009:427-703	PF00582:14-154;PF04564:731-798;PF00069:450-701	3.30.40.10:730-800;1.10.510.10:519-727;3.40.50.620:11-166;3.30.200.20:405-518	SSF57850:725-798;SSF52402:14-164;SSF56112:427-703	SM00504:733-795;SM00220:446-709	PS50011:446-709;PS51698:729-800	cd16655:731-785;cd01989:14-167	
GCA_032878535.1_CM064976.1_002504.1	IPR011009	Pfam_IPR000719:93-279;SUPERFAMILY_IPR011009:64-736;SMART_IPR000719:88-720;ProSiteProfiles_IPR000719:88-731	PF00069:93-279	1.10.510.10:181-293;1.10.510.10:587-726;3.30.200.20:64-164	SSF56112:64-736	SM00220:88-720	PS50011:88-731		
GCA_032878535.1_CM064982.1_002134.1	IPR011009	Gene3D_IPR032675:293-394;Pfam_IPR001611:240-283;Pfam_IPR001611:298-356;Pfam_IPR000719:696-972;Gene3D_IPR032675:190-292;Gene3D_IPR032675:31-189;SUPERFAMILY_IPR011009:689-975;Pfam_IPR013210:31-70;SMART_IPR003591:100-124;SMART_IPR003591:343-367;SMART_IPR003591:506-530;SMART_IPR003591:319-342;SMART_IPR003591:150-173;SMART_IPR003591:554-578;SMART_IPR003591:197-221;SMART_IPR003591:246-270;Pfam_IPR001611:579-599;Pfam_IPR001611:508-528;Pfam_IPR001611:126-148;Pfam_IPR001611:152-173;Pfam_IPR001611:535-554;Pfam_IPR001611:557-578;Pfam_IPR001611:463-485;SMART_IPR000719:693-975;Gene3D_IPR032675:395-627;ProSiteProfiles_IPR000719:693-975	PF13855:240-283;PF13855:298-356;PF00069:696-972;PF08263:31-70;PF00560:579-599;PF00560:508-528;PF00560:126-148;PF00560:152-173;PF00560:535-554;PF00560:557-578;PF00560:463-485	3.80.10.10:293-394;3.80.10.10:190-292;3.80.10.10:31-189;3.80.10.10:395-627;3.30.200.20:674-771;1.10.510.10:772-980	SSF56112:689-975;SSF52047:88-390;SSF52058:297-596	SM00369:100-124;SM00369:343-367;SM00369:506-530;SM00369:319-342;SM00369:150-173;SM00369:554-578;SM00369:197-221;SM00369:246-270;SM00220:693-975	PS50011:693-975	cd14066:712-976	
GCA_032878535.1_CM064979.1_000652.1	IPR011009	Pfam_IPR000719:295-447;Pfam_IPR000719:527-630;ProSiteProfiles_IPR000719:294-630;SMART_IPR000719:294-630;SUPERFAMILY_IPR011009:276-653	PF00069:295-447;PF00069:527-630	1.10.510.10:374-442;1.10.510.10:526-646;3.30.200.20:292-373	SSF56112:276-653	SM00220:294-630	PS50011:294-630	cd05574:292-649	
GCA_032878535.1_CM064975.1_001041.1	IPR011009	ProSiteProfiles_IPR000719:62-324;SUPERFAMILY_IPR011009:42-321;Pfam_IPR001245:62-321;PRINTS_IPR001245:136-149;PRINTS_IPR001245:292-314;PRINTS_IPR001245:173-191;PRINTS_IPR001245:248-270;SMART_IPR000719:62-324	PF07714:62-321	3.30.200.20:52-140;1.10.510.10:141-343	SSF56112:42-321	SM00220:62-324	PS50011:62-324	cd13999:68-321	PR00109:136-149;PR00109:292-314;PR00109:173-191;PR00109:248-270
GCA_032878535.1_CM064976.1_000913.1	IPR011009	ProSiteProfiles_IPR000719:440-703;Pfam_IPR000719:444-695;SMART_IPR000719:440-704;Pfam_IPR006016:27-146;SUPERFAMILY_IPR011009:417-699;Gene3D_IPR014729:27-166	PF00069:444-695;PF00582:27-146	1.10.510.10:513-729;3.30.200.20:406-512;3.40.50.620:27-166	SSF52402:27-162;SSF56112:417-699	SM00220:440-704	PS50011:440-703	cd01989:27-170	
GCA_032878535.1_CM064978.1_003809.1	IPR011009	Pfam_IPR000719:834-1104;ProSiteProfiles_IPR001611:194-215;Pfam_IPR001611:293-353;Pfam_IPR001611:368-427;Pfam_IPR001611:630-688;Pfam_IPR045381:536-601;SMART_IPR000719:834-1106;SMART_IPR003591:340-364;SMART_IPR003591:486-510;SMART_IPR003591:267-291;SMART_IPR003591:651-674;SMART_IPR003591:675-698;SMART_IPR003591:316-339;SMART_IPR003591:368-389;ProSiteProfiles_IPR000719:834-1109;Gene3D_IPR032675:103-720;Pfam_IPR001611:512-532;Pfam_IPR001611:441-462;Pfam_IPR001611:488-510;Pfam_IPR001611:608-627;Pfam_IPR001611:269-291;Pfam_IPR001611:464-486;SUPERFAMILY_IPR011009:823-1111;Pfam_IPR013210:48-85	PF00069:834-1104;PF13855:293-353;PF13855:368-427;PF13855:630-688;PF20141:536-601;PF00560:512-532;PF00560:441-462;PF00560:488-510;PF00560:608-627;PF00560:269-291;PF00560:464-486;PF08263:48-85	3.30.1490.310:543-601;1.10.510.10:910-1111;3.80.10.10:103-720;3.30.200.20:795-909	SSF52047:209-432;SSF52058:368-719;SSF56112:823-1111;SSF52058:64-257	SM00220:834-1106;SM00369:340-364;SM00369:486-510;SM00369:267-291;SM00369:651-674;SM00369:675-698;SM00369:316-339;SM00369:368-389	PS51450:194-215;PS50011:834-1109	cd14066:840-1109	
GCA_032878535.1_CM064977.1_001926.1	IPR011009	SMART_IPR000719:689-964;ProSiteProfiles_IPR000719:689-973;Gene3D_IPR032675:261-332;Gene3D_IPR032675:205-260;Gene3D_IPR032675:333-618;Gene3D_IPR032675:21-204;SUPERFAMILY_IPR011009:689-960;Pfam_IPR001611:503-562;Pfam_IPR001611:165-226;SMART_IPR003591:140-164;SMART_IPR003591:501-525;SMART_IPR003591:285-309;SMART_IPR003591:237-261;SMART_IPR003591:188-212;SMART_IPR003591:90-114;SMART_IPR003591:549-572;Pfam_IPR013210:23-62;Pfam_IPR001611:143-163;Pfam_IPR001611:574-594;Pfam_IPR001611:455-477;Pfam_IPR001611:239-261;Pfam_IPR001611:407-429;Pfam_IPR000719:692-902	PF13855:503-562;PF13855:165-226;PF08263:23-62;PF00560:143-163;PF00560:574-594;PF00560:455-477;PF00560:239-261;PF00560:407-429;PF00069:692-902	3.80.10.10:261-332;3.80.10.10:205-260;3.80.10.10:333-618;3.80.10.10:21-204;3.30.200.20:679-770;1.10.510.10:771-970	SSF52047:219-574;SSF52058:47-264;SSF56112:689-960	SM00220:689-964;SM00369:140-164;SM00369:501-525;SM00369:285-309;SM00369:237-261;SM00369:188-212;SM00369:90-114;SM00369:549-572	PS50011:689-973		
GCA_032878535.1_CM064981.1_001528.1	IPR011009	SUPERFAMILY_IPR011009:50-360;Pfam_IPR001245:77-359;ProSiteProfiles_IPR000719:72-363	PF07714:77-359	3.30.200.20:35-155;1.10.510.10:156-367	SSF56112:50-360		PS50011:72-363	cd14066:78-363	
