GCA_018446385.1_Zo_v_CM031523.1_002484.1	IPR036537,IPR045766	IPR000719,IPR011009	ProSiteProfiles_IPR000719:177-447;Gene3D_IPR036537:1-113;Pfam_IPR045766:13-143;SUPERFAMILY_IPR011009:157-442;Pfam_IPR000719:179-439;ProSiteProfiles_IPR010666:476-518;SMART_IPR000719:177-447	PF19584:13-143;PF00069:179-439	1.10.510.10:253-471;1.20.930.20:1-113;3.30.200.20:159-252	SSF56112:157-442	SM00220:177-447	PS50011:177-447;PS51999:476-518	cd21037:9-113;cd14066:183-446	
GCA_018446385.1_Zo_v_CM031510.1_003402.1	IPR036537,IPR045766	IPR000719,IPR011009	SMART_IPR000719:196-515;Pfam_IPR000719:293-510;Pfam_IPR045766:23-163;Gene3D_IPR036537:16-126;ProSiteProfiles_IPR000719:196-515;SUPERFAMILY_IPR011009:181-523	PF00069:293-510;PF19584:23-163	3.30.200.20:180-285;1.10.510.10:286-524;1.20.930.20:16-126	SSF56112:181-523	SM00220:196-515	PS50011:196-515	cd21037:20-138	
GCA_018446385.1_Zo_v_CM031522.1_002343.1	IPR036537,IPR045766	IPR000719,IPR011009	ProSiteProfiles_IPR000719:177-454;SUPERFAMILY_IPR011009:157-449;SMART_IPR000719:177-454;Gene3D_IPR036537:1-113;Pfam_IPR000719:180-446;Pfam_IPR045766:13-143;ProSiteProfiles_IPR010666:483-525	PF00069:180-446;PF19584:13-143	3.30.200.20:159-259;1.10.510.10:260-477;1.20.930.20:1-113	SSF56112:157-449	SM00220:177-454	PS50011:177-454;PS51999:483-525	cd21037:9-104	
GCA_018446385.1_Zo_v_CM031510.1_003404.1	IPR036537,IPR045766	IPR000719,IPR011009	ProSiteProfiles_IPR000719:196-529;SUPERFAMILY_IPR011009:182-538;Pfam_IPR045766:23-162;Gene3D_IPR036537:16-126;Pfam_IPR000719:235-524;SMART_IPR000719:196-529	PF19584:23-162;PF00069:235-524	1.20.930.20:16-126;1.10.510.10:291-539;3.30.200.20:180-290	SSF56112:182-538	SM00220:196-529	PS50011:196-529	cd21037:20-145	
GCA_018446385.1_Zo_v_CM031519.1_002690.1	IPR036537,IPR045766	IPR000719,IPR011009	SMART_IPR000719:173-478;Gene3D_IPR036537:1-115;Pfam_IPR045766:14-122;Pfam_IPR000719:175-471;SUPERFAMILY_IPR011009:157-508;ProSiteProfiles_IPR000719:173-478	PF19584:14-122;PF00069:175-471	1.10.510.10:264-490;1.20.930.20:1-115;3.30.200.20:145-247	SSF56112:157-508	SM00220:173-478	PS50011:173-478	cd21037:10-122	
GCA_018446385.1_Zo_v_CM031518.1_003234.1	IPR010632	IPR000719,IPR011009	PRINTS_IPR001245:341-359;PRINTS_IPR001245:415-437;PRINTS_IPR001245:460-482;SUPERFAMILY_IPR011009:231-526;Pfam_IPR010632:21-229;ProSiteProfiles_IPR000719:232-496;Pfam_IPR001245:263-488	PF06760:21-229;PF07714:263-488	1.10.510.10:233-501	SSF56112:231-526		PS50011:232-496		PR00109:341-359;PR00109:415-437;PR00109:460-482
GCA_018446385.1_Zo_v_CM031511.1_003464.1	IPR036537,IPR045766	IPR000719,IPR011009	SUPERFAMILY_IPR011009:185-542;Gene3D_IPR036537:20-130;SMART_IPR000719:200-533;Pfam_IPR000719:252-528;Pfam_IPR045766:27-167;ProSiteProfiles_IPR000719:200-533	PF00069:252-528;PF19584:27-167	3.30.200.20:184-294;1.10.510.10:295-543;1.20.930.20:20-130	SSF56112:185-542	SM00220:200-533	PS50011:200-533	cd21037:24-142	
GCA_018446385.1_Zo_v_CM031523.1_002481.1	IPR036537,IPR045766	IPR000719,IPR011009	SMART_IPR000719:231-500;Pfam_IPR000719:233-492;Gene3D_IPR036537:1-114;ProSiteProfiles_IPR000719:231-500;Pfam_IPR045766:13-143;ProSiteProfiles_IPR010666:529-571;SUPERFAMILY_IPR011009:213-496	PF00069:233-492;PF19584:13-143	1.20.930.20:1-114;1.10.510.10:306-524;3.30.200.20:204-305	SSF56112:213-496	SM00220:231-500	PS50011:231-500;PS51999:529-571	cd21037:11-136;cd14066:237-499	
GCA_018446385.1_Zo_v_CM031515.1_001989.1	IPR036537,IPR045766	IPR000719,IPR011009	ProSiteProfiles_IPR000719:226-505;Pfam_IPR045766:25-149;SUPERFAMILY_IPR011009:204-503;Gene3D_IPR036537:18-128;Pfam_IPR000719:227-500	PF19584:25-149;PF00069:227-500	1.20.930.20:18-128;1.10.510.10:301-509;3.30.200.20:186-300	SSF56112:204-503		PS50011:226-505	cd21037:22-148	
GCA_018446385.1_Zo_v_CM031513.1_000199.1	IPR010632	IPR000719,IPR011009	Pfam_IPR001245:263-488;Pfam_IPR010632:21-229;SUPERFAMILY_IPR011009:254-523;ProSiteProfiles_IPR000719:232-496	PF07714:263-488;PF06760:21-229	1.10.510.10:241-503	SSF56112:254-523		PS50011:232-496		
