GCA_005286985.2_CM016554.2_002596.1	CM016554.2:37330661-37339016(-)	GCA_005286985.2_CM016554.2_001510.1	CM016554.2:37384803-37386284(+)	<- MLKL NLR ->	45787
GCA_005286985.2_CM016556.2_003716.1	CM016556.2:29174688-29176855(-)	GCA_005286985.2_CM016556.2_003715.1	CM016556.2:29200665-29203940(-)	NLR -> MLKL ->	23810
GCA_005286985.2_CM016556.2_003716.1	CM016556.2:29174688-29176855(-)	GCA_005286985.2_CM016556.2_001261.1	CM016556.2:29238719-29246418(+)	<- MLKL NLR ->	61864
GCA_005286985.2_CM016558.2_000058.1	CM016558.2:1774030-1791516(+)	GCA_005286985.2_CM016558.2_003554.1	CM016558.2:1703490-1714043(-)	<- MLKL NLR ->	59987
GCA_005286985.2_CM016559.2_002138.1	CM016559.2:25148580-25150284(-)	GCA_005286985.2_CM016559.2_002134.1	CM016559.2:25225190-25232009(-)	NLR -> MLKL ->	74906
GCA_005286985.2_CM016559.2_001593.1	CM016559.2:38459974-38464781(-)	GCA_005286985.2_CM016559.2_001585.1	CM016559.2:38538424-38559236(-)	NLR -> MLKL ->	73643
GCA_005286985.2_CM016559.2_001590.1	CM016559.2:38474211-38478690(-)	GCA_005286985.2_CM016559.2_001585.1	CM016559.2:38538424-38559236(-)	NLR -> MLKL ->	59734
GCA_005286985.2_CM016559.2_001590.1	CM016559.2:38474211-38478690(-)	GCA_005286985.2_CM016559.2_001584.1	CM016559.2:38566872-38572069(-)	NLR -> MLKL ->	88182
GCA_005286985.2_CM016559.2_001247.1	CM016559.2:38529948-38533433(+)	GCA_005286985.2_CM016559.2_001585.1	CM016559.2:38538424-38559236(-)	MLKL -> <- NLR	4991
GCA_005286985.2_CM016559.2_001247.1	CM016559.2:38529948-38533433(+)	GCA_005286985.2_CM016559.2_001584.1	CM016559.2:38566872-38572069(-)	MLKL -> <- NLR	33439
